#/**
#  *
#  * German message catalog
#  *
#  * GForge
#  * Copyright 1999-2001 (c) VA Linux Systems
#  * Copyright 2003-2004 (c) Marco Schmidt, Lars Ehrhardt
#  * Copyright 2005 (c) Michael Will
#  * http://gforge.org
#  *
#  * @author Matthias Bauer, Marco Schmidt, Lars Ehrhardt, Michael Will
#  *
#  */
#
# ChangeLog:
#
# 2003-11-07  Marco Schmidt
#	* changed translation
# 2004-02-04  Lars Ehrhardt
#   * merged german.tab with base.tab to allow easier editing
#   * added small bits and pieces
#   * added translation for tracker items (not completed)
#   * convert to UTF-8 with: konwert iso1-utf8 German.tab > German_new.tab
#   * convert to UTF-8 with: konwert html-utf8 German.tab > German_new.tab
# 2004-02-06  Lars Ehrhardt
#   * continued with translation -> did some parts of task manager
# 2004-11-04  Tobias Rötschke  <gforge@roetschke.com>
#   * fixed files/forum tab and some corrections
# 2005-01-13  Tobias Rötschke  <gforge@roetschke.com>
#   * corrected submit_new and depend_info
# 2005-11-04	Michael Will <Michael.Will@edag.de>
#   * added more translations (check cvs diff)
artifact_canned	required_fields	ArtifactCanned: Name und Bevollmächtigter werden benötigt
forum_common_forum	error_save_place	Forum::savePlace()
#TO_TRANSLATE#home	sfos	$1 OnSite
#TO_TRANSLATE#my	survey_taken	Sie haben Ihre Entwickler Umfrage genommen.
#TO_TRANSLATE#news_admin	approve_newsbyte	Approve a NewsByte For Project: $1
#TO_TRANSLATE#news_admin	newsbyte_deleted	NewsByte Deleted.
#TO_TRANSLATE#news_admin	newsbyte_not_found	NewsByte Not Found.
#TO_TRANSLATE#news_admin	newsbyte_rejected	NewsBytes Rejected.
#TO_TRANSLATE#news_admin	newsbyte_updated	NewsByte Updated.
#TO_TRANSLATE#pm_reporting	aging_report	Aging Report
#TO_TRANSLATE#project_admin_editimages	dims	Dims
#TO_TRANSLATE#project_admin_userperms	rel_tech	Rel.Tech.
#TO_TRANSLATE#project_stats_utils	dl	D/l
#TO_TRANSLATE#rbac_vals	pm1	Tech
#TO_TRANSLATE#rbac_vals	pm2	Tech & Admin
#TO_TRANSLATE#rbac_vals	tracker1	Tech
#TO_TRANSLATE#rbac_vals	tracker2	Tech & Admin
account	title	Account Einstellungen
account	updated	Account Aktualisiert
account_change_email	desc	<p>Das Ändern Ihrer EMail-Adresse erfordert eine Bestätigung von Ihrem neu angegebenen EMail-Konto aus, damit wir sicherstellen können, dass wir eine korrekte EMail-Adresse gespeichert haben.</p><p>Wir müssen für jeden Benutzer eine korrekte EMail-Adresse pflegen, weil wir über diese die Zugriffsberechtigung regeln. Falls wir aus projektbezogenen Gründen einen Benutzer erreichen müssen, ist es wichtig, dass uns das auch möglich ist.</p>  <p>Durch das Abschicken des unten stehenden Formulars wird Ihnen eine EMail mit einem Bestätigungs-Link  an Ihre neue EMail-Adresse zugeschickt. Das Besuchen dieses Links wird die Änderung der EMail-Adresse endgültig übernehmen.</p>
account_change_email	invalid_email	Ungültige EMail-Adresse
account_change_email	mailsent	<p>Eine EMail wurde an Ihre neue Adresse gesendet. Folgen Sie den Anweisungen in der EMail, um die Änderung abzuschließen.</p><a href="/">[ Startseite ]</a>
account_change_email	message	Sie haben einen Wechsel der EMail-Adresse auf $1 angefordert.\nBitte besuchen Sie den folgenden Link, um die Änderung zu vervollständigen:\n\n<http://$1/account/change_email-complete.php?ch=_$2>\n\n -- Die $1 Leitung\n
account_change_email	new_address	Neue E-Mail Adresse:
account_change_email	section	Account Einstellungen
account_change_email	send_confirmation	Sende Bestätigung an die neue Addresse
account_change_email	subject	$1 Überprüfung
account_change_email	title	Ändere EMail-Adresse
account_change_email-complete	confirm	Willkommen, $1. Ihr EMail-Wechsel wurde komplett vollzogen. Ihre neue EMail-Adresse wurde wie folgt: <strong>$2</strong> gespeichert. EMails, die an $3 geschickt werden, werden an diese EMail-Adresse weiter geleitet.
account_change_email-complete	title	EMail-Änderung abgeschlossen
account_change_email_confirm	title	Bestätigung der EMail-Änderung
account_change_pw	confirmation	<h2>$1 Passwort-Änderungsbestätigung</h2><p>Gratulation. Sie haben Ihre Passwort geändert.</p>
account_change_pw	new_password	Neues Passwort (mind. 6 Buchstaben)
account_change_pw	new_password_repeat	Neues Passwort (Wiederholung)
account_change_pw	not_valid_password	Sie müssen ein gültiges Passwort (mind. 6 Buchstaben) eingeben.
account_change_pw	old_password	Altes Passwort
account_change_pw	old_password_incorrect	Altes Passwort ist falsch
account_change_pw	passwords_dont_match	Die neuen Passwörter sind nicht identisch.
account_change_pw	section	Account-Einstellungen
account_change_pw	title	Ändere Passwort
account_change_pw	update	Aktualisiere Passwort
account_change_pw_changed	return_to	Sie sollten jetzt $1 zu den Benutzereinstellungen zurückkehren $2.
account_change_pw_changed	title	Erfolgreiche Passwort-Änderung
account_editsshkeys	authorized_keys	Authorisierte Schlüssel:<br /><em>Wichtig: Stellen Sie sicher, dass es keine Zeilenumbrüche, außer zwischen Schlüsseln, gibt. Nach Bestätigung überprüfen Sie, dass die Anzahl der Schlüssel in Ihrer Datei wie erwartet ist.</em>
account_editsshkeys	intro	<p>Um zu vermeiden, dass Sie jedesmal Ihr Passwort für ihren CVS/SSH Entwickler Account eingeben müssen, können Sie Ihre(n) öffentlichen Schlüssel hier hochladen und Sie werden auf dem CVS Server in Ihrer ~/.ssh/authorized_keys Datei abgelegt. Dies wird von einem Cron-Job erledigt, sodaß dies nicht "sofort" passieren muss. Erlauben Sie bitte eine Verzögerung bis zu einer Stunde.</p><p>Um einen öffentlichen Schlüssel zu generieren, führen Sie das Programm 'ssh-keygen' aus (Sie können beide Protokolle 1 oder 2 benutzen). Der öffentliche Schlüssel wird in '~/.ssh/identity.pub' (Protokoll 1) oder '~/.ssh/id_dsa.pub' oder '~/.ssh/id_rsa.pub' (Protokoll 2) abgelegt. Lesen Sie die ssh Dokumentation für weitere Informationen, wie man Schlüssel teilt.</p>
account_editsshkeys	section	Account-Einstellungen
account_editsshkeys	title	Bearbeite die gemeinsam benutzten CVS/SSH-Schlüssel
account_first	about_blurb	<p>Sie sind jetzt ein registrierter Benutzer auf $1, der Online-Entwicklungsumgebung für Open Source Projekte.</p><p>Als registrierter Benutzer können Sie sich an allen Aktivitäten auf der Site beteiligen. Sie können jetzt Nachrichten an Projekt-Foren abschicken, Software-Fehler in $1 melden, sich als Projekt-Entwickler anmelden oder Ihr eigenes Projekt starten.</p><p>Genießen Sie die Site und helfen Sie uns, durch Feedback $1 zu verbessern.</p><p>--the $1 staff.</p>
account_first	title	Willkommen bei $1
account_login	cookiewarn	Cookies müssen ab hier eingeschaltet sein.
account_login	deleted_account	<p>Ihr $1 Account wurde von $1 Verantwortlichen gelöscht. Dies kann zwei Ursachen haben, entweder 1) Sie wollten Ihren Account gelöscht haben; oder 2) es hat einige Ereignisse bei Ihrer Account-Nutzung gegeben, die nicht zulässig waren (möglicherweise haben Sie die Nutzungsbedingungen missachtet) und Ihr Account wurde aus administrativen Gründen widerrufen. Sollten Sie Fragen dazu haben, stellen Sie bitte eine <a href="/support/?group_id=1">Support-Anfrage</a>.</p><p>Danke, <br><br>$1 Leitung</p>
account_login	login	Anmelden mit SSL-Verschlüsselung
account_login	loginname	Anmelde-Name:
account_login	login_ssl	Mit SSL einloggen
account_login	lostpw	[Passwort vergessen?]
account_login	newaccount	[Neuer Account]
account_login	passwd	Passwort:
