#/** -*- coding: utf-8 -*-
#  *
#  * Italian Message catalog
#  *
#  *
#  * @version   $Id$
#  *
#  * Changelog:
#  * 2002-12-15 rspisser <reinhard@spisser.it>
#  *           Translation from Base.tab
#  * 2003-01-04 rspisser <reinhard@spisser.it>
#  *           removed all not used entries
#  * 2003-01-17 rspisser <reinhard@spisser.it>
#  *           adding localization strings for forums
#  * 2003-01-21 rspisser <reinhard@spisser.it>
#  *           adding localization strings for my, diary, project_homepage
#  * 2003-01-25 rspisser <reinhard@spisser.it>
#  *           adding localization strings for pm
#  * 2003-02-04 rspisser <reinhard@spisser.it>
#  *           localization of the tracker
#  * 2003-11-13 rspisser <reinhard@spisser.it>
#  *            removed double strings, removed not translated strings,
#  * 2004-03-05 Lele Gaifax <lele@nautilus.homeip.net>
#  *            revisited and synced with Base.
#  **/
#
account	title	Preferenze account
account	updated	Aggiornato
account_change_email	desc	<p>Il cambio dell'email richiede la conferma via email dal nuovo indirizzo in modo tale da verificare che l'indirizzo sia valido.</p> <p>Visti i servizi che garantiamo, è necessario assicurarci che l'indirizzo di ciascun utente sia corretto, dal momento che potrebbe essere necessario contattarlo per questioni relative all'accesso alla shell o a qualche progetto.</p><p>Cliccando su Invia nel form invierà un messaggio contenente un URL per confermare il nuovo indirizzo di posta elettronica. Il cambio sarà completato quando il link di conferma sarà visitato.</p>
account_change_email	invalid_email	Indirizzo email non valido
account_change_email	mailsent	<p>Un messaggio di posta elettronica è stato inviato al nuovo indirizzo. Segui le istruzioni contenute nel messaggio per completare il cambio di email.</p><a href="/">[ Home ]</a>
account_change_email	message	Hai richiesto il cambio dell'indirizzo email di $1.\nVisita il seguente URL per completare il cambio di indirizzo email:\n\n<http://$1/account/change_email-complete.php?ch=_$2>\n\n -- il team $1
account_change_email	new_address	Nuovo indirizzo email:
account_change_email	section	Preferenze account
account_change_email	send_confirmation	Invia richiesta di conferma al nuovo indirizzo
account_change_email	subject	Verifica $1
account_change_email	title	Cambio indirizzo email
account_change_email-complete	confirm	Benvenuto, $1. Il cambio del tuo indirizzo email è completato. Il tuo nuovo indirizzo email è <strong>$2</strong>. La mail inviata a $3 d'ora in poi sarà rediretta su questo indirizzo.
account_change_email-complete	title	Cambio indirizzo email completato
account_change_email_confirm	title	Conferma di cambio indirizzo email
account_change_pw	confirmation	<h2>Conferma di cambio password su $1</h2><p>Congratulazioni, hai modificato la tua password.</p>
account_change_pw	new_password	Nuova password (almeno 6 caratteri)
account_change_pw	new_password_repeat	Conferma nuova password
account_change_pw	not_valid_password	La nuova password non è valida (deve essere di almeno 6 caratteri)
account_change_pw	old_password	Vecchia password
account_change_pw	old_password_incorrect	La vecchia password non è corretta
account_change_pw	passwords_dont_match	Le nuove password non corrispondono.
account_change_pw	section	Preferenze account
account_change_pw	title	Cambia Password
account_change_pw	update	Aggiorna password
account_change_pw_changed	return_to	Adesso puoi tornare alle $1 Preferenze utente $2.
account_change_pw_changed	title	Cambio password effettuato con successo
account_editsshkeys	section	Preferenze Account
account_editsshkeys	title	Modifica chiavi CVS/SSH
account_first	about_blurb	<p>Ora sei un utente registrato su $1, l'ambiente di sviluppo online per progetti Open Source.</p><p>Come utente registrato, puoi partecipare pienamente a tutte le attività del sito. Potrai inserire messaggi nei forum dei progetti, segnalare dei bug nel software ospitato da $1, farti registrare come sviluppatore oppure aprire un tuo progetto personale.</p><p>Buon lavoro, e non dimenticare di inviarci le tue impressioni sul come migliorare $1.</p><p>--il team $1.</p>
account_first	title	Benvenuto su $1
account_login	cookiewarn	Da questo momento i cookie devono essere abilitati.
account_login	deleted_account	<p>Il tuo account su $1 è stato rimosso dal team di $1. Questo può accadere per due ragioni: 1) hai richiesto che il tuo account venga rimosso; oppure 2) sono state effettuate delle azioni giudicate non idonee dal tuo account (cioè, non hai rispettato i termini pattuiti per l'utilizzo dei servizi su $1) che è stato quindi disabilitato per ragioni amministrative. Se questo ti lascia perplesso, inoltra una <a href="/support/?group_id=1">richiesta di supporto</a>.</p><p>Grazie, <br><br>il team $1</p>
account_login	login	Login con SSL
account_login	loginname	Login:
account_login	lostpw	[Hai dimenticato la password?]
account_login	newaccount	[Nuovo account]
account_login	passwd	Password:
account_login	pending_account	<p>Il tuo account è in attesa dell'approvazione di conferma via email. Il tuo account verrà attivato quando visiterai il link indicato in questo messaggio.</p> <p>Dovessi averne bisogno, cliccando qui sotto ti verrà spedito nuovamente il messaggio di conferma.</p><p><A href="pending-resend.php?form_user=$1">[Re-invia email di conferma]</A></p><br><hr>
account_login	resend_pending	[Rimanda l'email di conferma di un nuovo account]
account_login	resend_pending_directions	Inserisci il nome dell'utente e clicca su 'Conferma' per rispedire l'email di conferma
account_login	sslnotice	<p><B><FONT COLOR="RED">Quando verrà inviato questo form, sarai connesso ad un server SSL, la tua password non sarà visibile ad altri utenti.</FONT></B> <small style="font-size: x-small"> (Se ti stai chiedendo come mai anche questa pagina non sia resa via SSL, leggi il prossimo paragrafo. Grazie.)</small></p> <p> <B>Utenti di Internet Explorer</B> potranno avere problemi intermittenti di SSL, per cui dovrebbero uscire dalla modalità SSL dopo il login. Gli utilizzatori di Netscape dovrebbero rimanere permanentemente in modalità SSL per ottenere la massima sicurezza. Visita il sito <A HREF="http://www.microsoft.com/">Microsoft</A> per maggiori informazioni su questo problema. </p>
account_login	title	Login
account_login	usessl	Rimani in modalità SSL dopo il login
account_lostlogin	invalidconfirm	Il codice hash di conferma non è valido.
account_lostlogin	newpasswd	Nuova password (minimo 6 caratteri)
account_lostlogin	newpasswd2	Conferma nuova password
account_lostlogin	notmatch	Le password non corrispondono.
account_lostlogin	passwdchanged	<h2>Password cambiata</h2><p>La password è stata re-impostata. Ora puoi <a href="/account/login.php">loggarti</a> al sito.</p>
account_lostlogin	severalconfirm	Il codice hash di conferma esiste più volte.
account_lostlogin	sixchars	La password deve essere valida  (minimo 6 caratteri).
account_lostlogin	title	Conferma di password dimenticata
account_lostlogin	update	Aggiorna
account_lostlogin	welcome	<h2>Login per password dimenticata</h2><p>Benvenuto, $1. Adesso puoi cambiare la tua password.</p>
account_lostpw	invalid_user	Utente non valido
account_lostpw	message	Qualcuno (presumibilmente tu) sul sito $3 ha richiesto\n un cambio di password tramite verifica email. Se non sei stato tu,\nignora questo messaggio, non succederà nulla.\n\nSe hai richiesto la verifica, visita il link seguente \nper cambiare la tua password:\n\n<http://$1/account/lostlogin.php?ch=_$2>\n\n -- il team $3\n
account_lostpw	notify	<p>è stata inviata una email all'indirizzo indicato nel database. Segui le istruzioni nell'email per cambiare la password del tuo account.</p><p><a href="/">[ Home ]</a></p>
account_lostpw	sendhash	Invia codice hash della password smarrita
account_lostpw	subject	Verifica da $1
account_lostpw	title	Hai dimenticato la password?
account_lostpw	user_dont_exist	L'utente specificato non esiste.
account_lostpw	warn	<P>Attenzione... smarrire la propria password è una questione seria. Compromette la sicurezza del proprio account, dei progetti e del sito intero.</p><p>Cliccando su "Invia Hash di password persa" ti verrà inviato un link all'indirizzo email registrato. Questo link contiene un codice hash di conferma a 128-bit per il tuo account. Visitando il link indicato nella email sarai in grado di cambiare la password online e di effettuare il login.</p>
account_options	address	Indirizzo completo:
account_options	change_email_address	Cambia indirizzo e-mail
account_options	change_password	Cambia password
account_options	edit_skills_profile	Modifica il mio profilo delle competenze
account_options	email_address	Indirizzo e-mail:
account_options	fax	FAX:
account_options	language	Lingua:
account_options	login_name	Login:
account_options	member_since	Data registrazione:
account_options	phone	Telefono:
account_options	real_name	Nome completo:
account_options	timezone	Fuso orario:
account_options	title	Manutenzione account
account_options	title2	Titolo:
account_options	user_id	Id utente:
account_options	view_developer_profile	Visualizza il mio profilo
account_options	welcome	Benvenuto
account_register	Preferences	Preferenze
account_register	communitymail	Desidero ricevere email dalla comunità <I>(poco traffico).</I>
account_register	congrat	<p>Congratulazioni. Ti sei registrato su $1.</p><p> Ti verrà inviata una email di conferma per verificare il tuo indirizzo email. Visita il link indicato nella email per attivare il tuo account.</p>
account_register	emailaddr	Indirizzo email:<span><font color="red">*</font></span><BR><I>Questo indirizzo email sarà verificato prima dell'attivazione dell'account e non verrà visualizzato sul sito. Riceverai un account di ridirezione &lt;loginname@$1&gt; che inoltrerà le mail a questo indirizzo.</I>
account_register	err_badinsert	Inserimento fallito
account_register	err_email	Indirizzo email non valido
account_register	err_jabber	Indirizzo Jabber non valido
account_register	err_mailexist	Sul sistema esiste già un utente con questo indirizzo di posta elettronica - usa la ricerca persone per recuperare il tuo login.
account_register	err_passwd	Devi inserire una password
account_register	err_passwd2	Le password non corrispondono
account_register	err_passwd3	Password non valida:
account_register	err_realname	Inserire un nome completo
account_register	err_unixname	Nome utente unix non valido.
account_register	err_userexist	Il nome è specificato già usato da un altro utente.
account_register	err_username	Devi specificare un nome utente
account_register	jabberaddr	Indirizzo Jabber:
account_register	jabberonly	Invia le notifiche generate automaticamente solo al mio indirizzo Jabber
account_register	language	Lingua preferita:
account_register	loginname	Login (non usare maiuscole):
account_register	mandatory	I campi indicati con $1 sono obbligatori.
account_register	message_body	Grazie per la tua registrazione sul sito $4.\nE' stato creato un account con nome utente $1.\nPer completare la registrazione, visita l'URL:\n\n<http://$2/account/verify.php?confirm_hash=_$3>\n\n(Se non vedi alcuni link qui sopra, probabilmente si tratta di un bug nel tuo sistema di email.\nUsa il seguente, assicurandoti che tutto venga inserito in una riga sola.)\n\nhttp://$2/account/verify.php?confirm_hash=_$3\n\\nGrazie.\n\n-- il team $4\n
account_register	message_header	Registrazione account $1
account_register	partecipate_peer_ratings	Partecipa alle valutazioni. <I>(Permette di valutare altri utenti utilizzando criteri diversi ed essere valutato da altri. Se avete intenzione di partecipare alle valutazione, potete ottenere maggiori informazioni sulla vostra $1 homepage </a>)</i>.
account_register	password	Password (minimo 6 caratteri):
account_register	password2	Conferma password:
account_register	realname	Nome completo:
account_register	register	Registra
account_register	remember_me	"Ricordati di me". <i>(Permette di accedere alla tua $1 pagina personale</a> senza essere loggato. È comunque necessario loggarsi prima di fare qualsiasi modifica.)</i>
account_register	resend_pending	[Rispedisci l'email di conferma di un nuovo account]
account_register	reset	Annulla le modifiche
account_register	siteupdate	Desidero ricevere email su aggiornamenti del sito  <I>(poco traffico e include informazioni sulla sicurezza. Si raccomanda di attivare questa opzione)</I>.
account_register	timezone	Fuso orario:
account_register	title	Registrazione nuovo account
account_register	update	Applica modifiche
account_shell	autorized_keys	Chiavi di autorizzazione CVS/SSH
account_shell	edit_keys	Modifica chiavi
account_shell	shell_box	Macchina per l'account shell
account_shell	title	Informazioni sull'account shell
account_unsubscribe	all_mailings	tutti le e-mail ed annunci di $1
account_unsubscribe	site_mailings	tutti le e-mail di $1
account_verify	accessdenied	Accesso negato
account_verify	accountactive	Utente già attivo.
